Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,,,,
362,0.252531081,,,,,,,,,,,,,,,,,,,,,,
361,0.260459751,,,,,,,,,,,,,,,,,,,,,,
360,0.267454624,,,,,,,,,,,,,,,,,,,,,,
359,0.275481492,,,,,,,,,,,,,,,,,,,,,,
358,0.281564832,,,,,,,,,,,,,,,,,,,,,,
357,0.290028423,,,,,,,,,,,,,,,,,,,,,,
356,0.298455298,,,,,,,,,,,,,,,,,,,,,,
355,0.307092845,,,,,,,,,,,,,,,,,,,,,,
354,0.314722925,,,,,,,,,,,,,,,,,,,,,,
353,0.323415071,,,,,,,,,,,,,,,,,,,,,,
352,0.332588643,,,,,,,,,,,,,,,,,,,,,,
351,0.341891795,,,,,,,,,,,,,,,,,,,,,,
350,0.351257473,,,,,,,,,,,,,,,,,,,,,,
349,0.361886054,,,,,,,,,,,,,,,,,,,,,,
348,0.369393736,,,,,,,,,,,,,,,,,,,,,,
347,0.378492057,,,,,,,,,,,,,,,,,,,,,,
346,0.39091301,,,,,,,,,,,,,,,,,,,,,,
