Wavelength (nm),Abs,,,,,,,,,,,,,,,,,,,
421,0.036056288,,,,,,,,,,,,,,,,,,,
420,0.036590546,,,,,,,,,,,,,,,,,,,
419,0.036977235,,,,,,,,,,,,,,,,,,,
418,0.03725135,,,,,,,,,,,,,,,,,,,
417,0.037651416,,,,,,,,,,,,,,,,,,,
416,0.038527578,,,,,,,,,,,,,,,,,,,
415,0.039057102,,,,,,,,,,,,,,,,,,,
414,0.039565407,,,,,,,,,,,,,,,,,,,
413,0.040160362,,,,,,,,,,,,,,,,,,,
412,0.041114364,,,,,,,,,,,,,,,,,,,
411,0.041399565,,,,,,,,,,,,,,,,,,,
410,0.041908681,,,,,,,,,,,,,,,,,,,
409,0.042449623,,,,,,,,,,,,,,,,,,,
408,0.043049287,,,,,,,,,,,,,,,,,,,
407,0.043584012,,,,,,,,,,,,,,,,,,,
406,0.044360414,,,,,,,,,,,,,,,,,,,
405,0.045110777,,,,,,,,,,,,,,,,,,,
404,0.045820754,,,,,,,,,,,,,,,,,,,
403,0.046694376,,,,,,,,,,,,,,,,,,,
402,0.047320373,,,,,,,,,,,,,,,,,,,
401,0.048479959,,,,,,,,,,,,,,,,,,,
400,0.048812091,,,,,,,,,,,,,,,,,,,
399,0.04998982,,,,,,,,,,,,,,,,,,,
398,0.051096462,,,,,,,,,,,,,,,,,,,
397,0.051892638,,,,,,,,,,,,,,,,,,,
396,0.053001866,,,,,,,,,,,,,,,,,,,
395,0.054149881,,,,,,,,,,,,,,,,,,,
394,0.054940134,,,,,,,,,,,,,,,,,,,
393,0.05647717,,,,,,,,,,,,,,,,,,,
392,0.057460766,,,,,,,,,,,,,,,,,,,
391,0.058713418,,,,,,,,,,,,,,,,,,,
390,0.060151849,,,,,,,,,,,,,,,,,,,
389,0.060928475,,,,,,,,,,,,,,,,,,,
388,0.062481124,,,,,,,,,,,,,,,,,,,
387,0.064251661,,,,,,,,,,,,,,,,,,,
386,0.06558679,,,,,,,,,,,,,,,,,,,
385,0.067146331,,,,,,,,,,,,,,,,,,,
384,0.068563394,,,,,,,,,,,,,,,,,,,
383,0.070040017,,,,,,,,,,,,,,,,,,,
382,0.07177797,,,,,,,,,,,,,,,,,,,
381,0.073415183,,,,,,,,,,,,,,,,,,,
380,0.075453997,,,,,,,,,,,,,,,,,,,
379,0.077133596,,,,,,,,,,,,,,,,,,,
378,0.078968249,,,,,,,,,,,,,,,,,,,
377,0.080595098,,,,,,,,,,,,,,,,,,,
376,0.082894407,,,,,,,,,,,,,,,,,,,
375,0.084885344,,,,,,,,,,,,,,,,,,,
374,0.086709365,,,,,,,,,,,,,,,,,,,
373,0.088914819,,,,,,,,,,,,,,,,,,,
372,0.091825336,,,,,,,,,,,,,,,,,,,
371,0.094128489,,,,,,,,,,,,,,,,,,,
370,0.096029386,,,,,,,,,,,,,,,,,,,
369,0.098592453,,,,,,,,,,,,,,,,,,,
368,0.101488464,,,,,,,,,,,,,,,,,,,
367,0.104213059,,,,,,,,,,,,,,,,,,,
366,0.10712482,,,,,,,,,,,,,,,,,,,
365,0.110207692,,,,,,,,,,,,,,,,,,,
364,0.11297784,,,,,,,,,,,,,,,,,,,
363,0.115795784,,,,,,,,,,,,,,,,,,,
362,0.118284002,,,,,,,,,,,,,,,,,,,
361,0.121570125,,,,,,,,,,,,,,,,,,,
360,0.125194192,,,,,,,,,,,,,,,,,,,
359,0.128510594,,,,,,,,,,,,,,,,,,,
358,0.131743237,,,,,,,,,,,,,,,,,,,
357,0.136297166,,,,,,,,,,,,,,,,,,,
356,0.139973253,,,,,,,,,,,,,,,,,,,
355,0.143800974,,,,,,,,,,,,,,,,,,,
354,0.147586495,,,,,,,,,,,,,,,,,,,
353,0.151732802,,,,,,,,,,,,,,,,,,,
352,0.155945763,,,,,,,,,,,,,,,,,,,
351,0.159968555,,,,,,,,,,,,,,,,,,,
350,0.163900659,,,,,,,,,,,,,,,,,,,
349,0.167327657,,,,,,,,,,,,,,,,,,,
348,0.170842707,,,,,,,,,,,,,,,,,,,
347,0.175909996,,,,,,,,,,,,,,,,,,,
346,0.179388851,,,,,,,,,,,,,,,,,,,
345,0.182893097,,,,,,,,,,,,,,,,,,,
344,0.18704927,,,,,,,,,,,,,,,,,,,
343,0.190684378,,,,,,,,,,,,,,,,,,,
342,0.195090056,,,,,,,,,,,,,,,,,,,
